DATE-CREATION_precision,DATE-CREATION_recall,DATE-CREATION_f1-score,DATE-CREATION_support,DATE-PUB_precision,DATE-PUB_recall,DATE-PUB_f1-score,DATE-PUB_support,DATE-SUBJ_precision,DATE-SUBJ_recall,DATE-SUBJ_f1-score,DATE-SUBJ_support,GPE_precision,GPE_recall,GPE_f1-score,GPE_support,GPE-CREATION_precision,GPE-CREATION_recall,GPE-CREATION_f1-score,GPE-CREATION_support,GPE-DES_precision,GPE-DES_recall,GPE-DES_f1-score,GPE-DES_support,GPE-PUB_precision,GPE-PUB_recall,GPE-PUB_f1-score,GPE-PUB_support,GPE-SUBJ_precision,GPE-SUBJ_recall,GPE-SUBJ_f1-score,GPE-SUBJ_support,LITWORK_precision,LITWORK_recall,LITWORK_f1-score,LITWORK_support,ORG-DES_precision,ORG-DES_recall,ORG-DES_f1-score,ORG-DES_support,ORG-PUB_precision,ORG-PUB_recall,ORG-PUB_f1-score,ORG-PUB_support,ORG-SUBJ_precision,ORG-SUBJ_recall,ORG-SUBJ_f1-score,ORG-SUBJ_support,PERSON-AUT_precision,PERSON-AUT_recall,PERSON-AUT_f1-score,PERSON-AUT_support,PERSON-CON_precision,PERSON-CON_recall,PERSON-CON_f1-score,PERSON-CON_support,PERSON-EDT_precision,PERSON-EDT_recall,PERSON-EDT_f1-score,PERSON-EDT_support,PERSON-PUB_precision,PERSON-PUB_recall,PERSON-PUB_f1-score,PERSON-PUB_support,PERSON-SUBJ_precision,PERSON-SUBJ_recall,PERSON-SUBJ_f1-score,PERSON-SUBJ_support,YEAR-CREATION_precision,YEAR-CREATION_recall,YEAR-CREATION_f1-score,YEAR-CREATION_support,YEAR-PUB_precision,YEAR-PUB_recall,YEAR-PUB_f1-score,YEAR-PUB_support,YEAR-SUBJ_precision,YEAR-SUBJ_recall,YEAR-SUBJ_f1-score,YEAR-SUBJ_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,trainset_size,model,trainset_num,DES_precision,DES_recall,DES_f1-score,DES_support,ORG-CREATION_precision,ORG-CREATION_recall,ORG-CREATION_f1-score,ORG-CREATION_support,ORG_precision,ORG_recall,ORG_f1-score,ORG_support,I-GPE-DES_precision,I-GPE-DES_recall,I-GPE-DES_f1-score,I-GPE-DES_support,GPE-AUT_precision,GPE-AUT_recall,GPE-AUT_f1-score,GPE-AUT_support
0.7719298245614035,0.676923076923077,0.7213114754098361,65,1.0,0.0,0.0,32,0.4590163934426229,0.4855491329479768,0.4719101123595505,173,,,,,0.9264705882352942,0.8181818181818182,0.8689655172413794,77,0.7844311377245509,0.6313253012048192,0.6995994659546061,415,1.0,0.0,0.0,24,0.3271028037383177,0.4729729729729729,0.3867403314917127,148,0.0533807829181494,0.1923076923076923,0.0835654596100278,78,0.0602409638554216,0.1327433628318584,0.0828729281767955,113,0.0689655172413793,0.0625,0.0655737704918032,32,0.0,0.0,0.0,9,0.4767932489451477,0.5380952380952381,0.5055928411633109,210,0.1538461538461538,0.1333333333333333,0.1428571428571428,15,1.0,0.0,0.0,1,1.0,0.0,0.0,2,0.4934210526315789,0.4807692307692308,0.487012987012987,312,0.9824561403508772,0.8235294117647058,0.896,68,1.0,0.0,0.0,25,0.7209302325581395,0.9393939393939394,0.8157894736842105,132,0.4508566275924256,0.5159958720330238,0.4812319538017324,1938,0.6323326114309065,0.3041725957488886,0.2965615002596839,1938,0.5662553791790014,0.5159958720330238,0.5107668272704751,1938,168,dbmdz/bert-base-german-europeana-cased,5,,,,,,,,,1.0,0.0,0.0,3.0,,,,,1.0,0.0,0.0,4.0
0.8450704225352113,0.9230769230769232,0.8823529411764706,65,0.1290322580645161,0.125,0.1269841269841269,32,0.6231155778894473,0.7167630057803468,0.6666666666666667,173,,,,,0.7764705882352941,0.8571428571428571,0.8148148148148148,77,0.6963906581740976,0.7903614457831325,0.7404063205417607,415,0.0,0.0,0.0,24,0.4645669291338583,0.3986486486486486,0.4290909090909091,148,0.1073825503355704,0.2051282051282051,0.1409691629955947,78,0.1326530612244898,0.1150442477876106,0.1232227488151658,113,0.0,0.0,0.0,32,0.0,0.0,0.0,9,0.4602649006622517,0.6619047619047619,0.54296875,210,0.0384615384615384,0.0666666666666666,0.048780487804878,15,1.0,0.0,0.0,1,1.0,0.0,0.0,2,0.5433333333333333,0.5224358974358975,0.5326797385620915,312,0.8985507246376812,0.9117647058823528,0.9051094890510948,68,0.238095238095238,0.2,0.217391304347826,25,0.8409090909090909,0.8409090909090909,0.8409090909090909,132,0.538353601496726,0.5939112487100103,0.5647693817468106,1938,0.5140141367472199,0.3492784026736426,0.3339212643695472,1938,0.5482847708638742,0.5939112487100103,0.5645602690024294,1938,338,dbmdz/bert-base-german-europeana-cased,5,,,,,,,,,1.0,0.0,0.0,3.0,,,,,1.0,0.0,0.0,4.0
0.7439024390243902,0.9384615384615383,0.8299319727891157,65,0.2,0.3125,0.2439024390243902,32,0.6623376623376623,0.5895953757225434,0.6238532110091742,173,,,,,0.8192771084337349,0.8831168831168831,0.85,77,0.7446300715990454,0.7518072289156627,0.7482014388489209,415,0.037037037037037,0.0416666666666666,0.0392156862745098,24,0.4732142857142857,0.7162162162162162,0.5698924731182796,148,0.2112676056338028,0.3846153846153846,0.2727272727272727,78,0.2842105263157894,0.2389380530973451,0.2596153846153846,113,0.1111111111111111,0.125,0.1176470588235294,32,0.0,0.0,0.0,9,0.5854700854700855,0.6523809523809524,0.6171171171171171,210,0.1034482758620689,0.2,0.1363636363636363,15,0.0588235294117647,1.0,0.1111111111111111,1,1.0,0.0,0.0,2,0.6153846153846154,0.6153846153846154,0.6153846153846154,312,0.7901234567901234,0.9411764705882352,0.8590604026845637,68,0.1333333333333333,0.16,0.1454545454545454,25,0.8504672897196262,0.6893939393939394,0.7615062761506276,132,0.5676181562938699,0.6259029927760578,0.5953374233128835,1938,0.4963827825323084,0.4400120630742849,0.3714754591188949,1938,0.5982463306921543,0.6259029927760578,0.6045471376355168,1938,698,dbmdz/bert-base-german-europeana-cased,5,,,,,,,,,1.0,0.0,0.0,3.0,,,,,1.0,0.0,0.0,4.0
0.8095238095238095,0.6181818181818182,0.7010309278350516,55,0.5,0.2666666666666666,0.3478260869565218,30,0.5309278350515464,0.5508021390374331,0.5406824146981627,187,1.0,0.0,0.0,1.0,0.8409090909090909,0.6271186440677966,0.7184466019417475,59,0.6732824427480916,0.7603448275862069,0.71417004048583,580,1.0,0.0,0.0,23,0.2077294685990338,0.3208955223880597,0.252199413489736,134,0.0946745562130177,0.16,0.1189591078066914,100,0.082901554404145,0.2909090909090909,0.1290322580645161,55,0.0,0.0,0.0,24,0.0,0.0,0.0,11,0.48,0.4909090909090909,0.4853932584269662,220,0.0,0.0,0.0,20,1.0,0.0,0.0,11,1.0,0.0,0.0,3,0.3897435897435897,0.5487364620938628,0.4557721139430284,277,0.875,0.65625,0.75,32,0.5,0.0666666666666666,0.1176470588235294,15,0.6509433962264151,0.9452054794520548,0.770949720670391,73,0.4600877192982456,0.5492146596858639,0.5007159904534606,1910,0.531781787170937,0.3151343203979373,0.3051054501571086,1910,0.5106625131022414,0.5492146596858639,0.5102475929182249,1910,168,distilbert/distilbert-base-multilingual-cased,1,,,,,,,,,,,,,,,,,,,,
0.7551020408163265,0.6727272727272727,0.7115384615384616,55,0.3076923076923077,0.5333333333333333,0.3902439024390244,30,0.6127167630057804,0.5668449197860963,0.5888888888888889,187,1.0,0.0,0.0,1.0,0.7796610169491526,0.7796610169491526,0.7796610169491526,59,0.677731673582296,0.8448275862068966,0.7521105141980047,580,1.0,0.0,0.0,23,0.5166666666666667,0.2313432835820895,0.3195876288659793,134,0.1826923076923076,0.19,0.1862745098039215,100,0.15,0.3272727272727272,0.2057142857142856,55,0.05,0.0416666666666666,0.0454545454545454,24,0.0,0.0,0.0,11,0.5806451612903226,0.6545454545454545,0.6153846153846153,220,0.0,0.0,0.0,20,1.0,0.0,0.0,11,1.0,0.0,0.0,3,0.5698924731182796,0.5740072202166066,0.5719424460431656,277,0.8846153846153846,0.71875,0.7931034482758621,32,0.4615384615384615,0.4,0.4285714285714285,15,0.7692307692307693,0.821917808219178,0.794701986754967,73,0.5751243781094527,0.6052356020942409,0.589795918367347,1910,0.5649092513099029,0.3678448644752737,0.3591588839441152,1910,0.5844833072566983,0.6052356020942409,0.5762719584887764,1910,338,distilbert/distilbert-base-multilingual-cased,1,,,,,,,,,,,,,,,,,,,,
0.875,0.7636363636363637,0.8155339805825242,55,0.391304347826087,0.3,0.3396226415094339,30,0.6721311475409836,0.6577540106951871,0.6648648648648647,187,1.0,0.0,0.0,1.0,0.9791666666666666,0.7966101694915254,0.8785046728971962,59,0.7660256410256411,0.8241379310344827,0.7940199335548174,580,0.25,0.217391304347826,0.2325581395348837,23,0.3903743315508021,0.5447761194029851,0.454828660436137,134,0.2714285714285714,0.19,0.2235294117647058,100,0.2980769230769231,0.5636363636363636,0.3899371069182389,55,0.4444444444444444,0.1666666666666666,0.2424242424242424,24,0.0,0.0,0.0,11,0.7070707070707071,0.6363636363636364,0.6698564593301435,220,0.6666666666666666,0.2,0.3076923076923076,20,0.0,0.0,0.0,11,1.0,0.0,0.0,3,0.5964912280701754,0.6137184115523465,0.6049822064056939,277,0.9583333333333334,0.71875,0.8214285714285714,32,0.6666666666666666,0.2666666666666666,0.3809523809523809,15,0.75,0.9041095890410958,0.8198757763975154,73,0.6431168831168831,0.6481675392670158,0.645632333767927,1910,0.5841590337683834,0.4182108616267572,0.4320305678346828,1910,0.645767487377334,0.6481675392670158,0.6390591239322273,1910,698,distilbert/distilbert-base-multilingual-cased,1,,,,,,,,,,,,,,,,,,,,
0.4038461538461538,0.6774193548387096,0.5060240963855421,62,0.1666666666666666,0.0172413793103448,0.03125,58,0.4603174603174603,0.4172661870503597,0.4377358490566037,139,1.0,0.0,0.0,1.0,0.5373134328358209,0.7659574468085106,0.631578947368421,47,0.6362275449101796,0.6955810147299509,0.6645817044566067,611,1.0,0.0,0.0,9,0.3235294117647059,0.2477477477477477,0.2806122448979592,222,0.08,0.0449438202247191,0.0575539568345323,89,0.0895522388059701,0.0714285714285714,0.0794701986754966,84,0.0,0.0,0.0,27,1.0,0.0,0.0,17,0.3323442136498516,0.5185185185185185,0.4050632911392404,216,0.0,0.0,0.0,59,1.0,0.0,0.0,5,1.0,0.0,0.0,2,0.4595959595959596,0.2716417910447761,0.3414634146341463,335,0.6097560975609756,0.78125,0.684931506849315,32,1.0,0.0,0.0,18,0.7407407407407407,0.8,0.7692307692307692,75,0.4763144195731389,0.4332386363636363,0.4537565088023804,2112,0.5836313600315676,0.2413179923501004,0.2222498172513014,2112,0.4526338452815558,0.4332386363636363,0.4192058034367599,2112,168,distilbert/distilbert-base-multilingual-cased,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,
0.6865671641791045,0.7419354838709677,0.7131782945736433,62,0.32,0.1379310344827586,0.1927710843373494,58,0.5276073619631901,0.6187050359712231,0.5695364238410596,139,1.0,0.0,0.0,1.0,0.5211267605633803,0.7872340425531915,0.6271186440677966,47,0.7271428571428571,0.8330605564648118,0.7765064836003049,611,0.0,0.0,0.0,9,0.4875621890547263,0.4414414414414414,0.4633569739952718,222,0.1401273885350318,0.247191011235955,0.1788617886178861,89,0.1655629139072847,0.2976190476190476,0.2127659574468085,84,0.0,0.0,0.0,27,1.0,0.0,0.0,17,0.4448160535117056,0.6157407407407407,0.516504854368932,216,0.1904761904761904,0.0677966101694915,0.1,59,1.0,0.0,0.0,5,1.0,0.0,0.0,2,0.5322033898305085,0.4686567164179104,0.4984126984126984,335,0.7352941176470589,0.78125,0.7575757575757576,32,0.6,0.3333333333333333,0.4285714285714285,18,0.7407407407407407,0.8,0.7692307692307692,75,0.5296167247386759,0.5757575757575758,0.5517241379310345,2112,0.5826921421614445,0.3259952297409487,0.3092905072108958,2112,0.5408857599341084,0.5757575757575758,0.5441391978316512,2112,338,distilbert/distilbert-base-multilingual-cased,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,
0.8245614035087719,0.7580645161290323,0.7899159663865545,62,0.6666666666666666,0.1724137931034483,0.273972602739726,58,0.6374269005847953,0.7841726618705036,0.703225806451613,139,1.0,0.0,0.0,1.0,0.8666666666666667,0.8297872340425532,0.8478260869565217,47,0.7562043795620438,0.8477905073649754,0.7993827160493827,611,0.074074074074074,0.2222222222222222,0.1111111111111111,9,0.6,0.3783783783783784,0.4640883977900553,222,0.175,0.2359550561797752,0.200956937799043,89,0.3783783783783784,0.3333333333333333,0.3544303797468354,84,0.1052631578947368,0.074074074074074,0.0869565217391304,27,1.0,0.0,0.0,17,0.659217877094972,0.5462962962962963,0.5974683544303796,216,0.4285714285714285,0.1016949152542373,0.1643835616438356,59,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.5754985754985755,0.6029850746268657,0.5889212827988338,335,0.9,0.84375,0.870967741935484,32,0.6666666666666666,0.3333333333333333,0.4444444444444444,18,0.7083333333333334,0.9066666666666666,0.7953216374269007,75,0.6321218074656189,0.609375,0.620540019286403,2112,0.5919331594773232,0.3623144574034407,0.3678806158840842,2112,0.6352402350166187,0.609375,0.6043927738184103,2112,698,distilbert/distilbert-base-multilingual-cased,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,
0.6428571428571429,0.6585365853658537,0.6506024096385543,41,1.0,0.0,0.0,37,0.4975124378109453,0.7407407407407407,0.5952380952380952,135,1.0,0.0,0.0,1.0,0.8648648648648649,0.6530612244897959,0.7441860465116279,49,0.7958115183246073,0.6373165618448637,0.7077997671711292,477,1.0,0.0,0.0,20,0.2085714285714285,0.453416149068323,0.2857142857142857,161,0.0986842105263157,0.1304347826086956,0.1123595505617977,115,0.1382978723404255,0.1130434782608695,0.1244019138755981,115,0.0,0.0,0.0,40,0.0,0.0,0.0,12,0.327683615819209,0.5979381443298969,0.4233576642335766,194,0.0,0.0,0.0,28,1.0,0.0,0.0,4,1.0,0.0,0.0,3,0.4549180327868852,0.3373860182370821,0.387434554973822,329,0.9473684210526316,0.75,0.8372093023255814,24,1.0,0.0,0.0,19,0.6831683168316832,0.7582417582417582,0.7187499999999999,91,0.4409844299347061,0.4625922023182297,0.4515299562869632,1898,0.6208971755357336,0.2650052474176309,0.2539569813747304,1898,0.5065745770828608,0.4625922023182297,0.4475456501505995,1898,168,distilbert/distilbert-base-multilingual-cased,3,,,,,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,,,,,,,
